p,nullresult,number,prop,prop_se,method,n,sig_p,d,nsims
100,TRUE,0,0,0,fdr,76,10,0.8,10
100,TRUE,0,0,0,tweedie,76,10,0.8,10
100,TRUE,0,0,0,lasso,76,10,0.8,10
100,TRUE,0,0,0,boruta,76,10,0.8,10
100,TRUE,0,0,0,svm,76,10,0.8,10
300,TRUE,0,0,0,fdr,76,10,0.8,10
300,TRUE,0,0,0,tweedie,76,10,0.8,10
300,TRUE,0,0,0,lasso,76,10,0.8,10
300,TRUE,0,0,0,boruta,76,10,0.8,10
300,TRUE,0,0,0,svm,76,10,0.8,10
1000,TRUE,1,0.1,0.09486832980505139,fdr,76,10,0.8,10
1000,TRUE,0,0,0,tweedie,76,10,0.8,10
1000,TRUE,0,0,0,lasso,76,10,0.8,10
1000,TRUE,0,0,0,boruta,76,10,0.8,10
1000,TRUE,0,0,0,svm,76,10,0.8,10
3000,TRUE,1,0.1,0.09486832980505139,fdr,76,10,0.8,10
3000,TRUE,0,0,0,tweedie,76,10,0.8,10
3000,TRUE,1,0.1,0.09486832980505139,lasso,76,10,0.8,10
3000,TRUE,0,0,0,boruta,76,10,0.8,10
3000,TRUE,0,0,0,svm,76,10,0.8,10
10000,TRUE,5,0.5,0.15811388300841897,fdr,76,10,0.8,10
10000,TRUE,1,0.1,0.09486832980505139,tweedie,76,10,0.8,10
10000,TRUE,0,0,0,lasso,76,10,0.8,10
10000,TRUE,0,0,0,boruta,76,10,0.8,10
10000,TRUE,0,0,0,svm,76,10,0.8,10
