p,nullresult,number,prop,prop_se,method,n,sig_p,d,nsims
100,TRUE,0,0,0,fdr,76,10,1.81,25
100,TRUE,0,0,0,tweedie,76,10,1.81,25
100,TRUE,0,0,0,lasso,76,10,1.81,25
100,TRUE,0,0,0,boruta,76,10,1.81,25
100,TRUE,0,0,0,svm,76,10,1.81,25
300,TRUE,0,0,0,fdr,76,10,1.81,25
300,TRUE,0,0,0,tweedie,76,10,1.81,25
300,TRUE,0,0,0,lasso,76,10,1.81,25
300,TRUE,0,0,0,boruta,76,10,1.81,25
300,TRUE,0,0,0,svm,76,10,1.81,25
1000,TRUE,0,0,0,fdr,76,10,1.81,25
1000,TRUE,0,0,0,tweedie,76,10,1.81,25
1000,TRUE,0,0,0,lasso,76,10,1.81,25
1000,TRUE,0,0,0,boruta,76,10,1.81,25
1000,TRUE,0,0,0,svm,76,10,1.81,25
3000,TRUE,0,0,0,fdr,76,10,1.81,25
3000,TRUE,0,0,0,tweedie,76,10,1.81,25
3000,TRUE,0,0,0,lasso,76,10,1.81,25
3000,TRUE,0,0,0,boruta,76,10,1.81,25
3000,TRUE,0,0,0,svm,76,10,1.81,25
10000,TRUE,0,0,0,fdr,76,10,1.81,25
10000,TRUE,0,0,0,tweedie,76,10,1.81,25
10000,TRUE,0,0,0,lasso,76,10,1.81,25
10000,TRUE,0,0,0,boruta,76,10,1.81,25
10000,TRUE,0,0,0,svm,76,10,1.81,25
