p,nullresult,number,prop,prop_se,method,n,sig_p,d,nsims
100,TRUE,7,0.7,0.14491376746189438,fdr,30,3,0.7,10
100,TRUE,0,0,0,tweedie,30,3,0.7,10
100,TRUE,2,0.2,0.1264911064067352,lasso,30,3,0.7,10
100,TRUE,0,0,0,boruta,30,3,0.7,10
100,TRUE,0,0,0,svm,30,3,0.7,10
300,TRUE,10,1,0,fdr,30,3,0.7,10
300,TRUE,0,0,0,tweedie,30,3,0.7,10
300,TRUE,4,0.4,0.15491933384829668,lasso,30,3,0.7,10
300,TRUE,0,0,0,boruta,30,3,0.7,10
300,TRUE,0,0,0,svm,30,3,0.7,10
1000,TRUE,8,0.8,0.12649110640673517,fdr,30,3,0.7,10
1000,TRUE,0,0,0,tweedie,30,3,0.7,10
1000,TRUE,2,0.2,0.1264911064067352,lasso,30,3,0.7,10
1000,TRUE,0,0,0,boruta,30,3,0.7,10
1000,TRUE,0,0,0,svm,30,3,0.7,10
3000,TRUE,10,1,0,fdr,30,3,0.7,10
3000,TRUE,0,0,0,tweedie,30,3,0.7,10
3000,TRUE,4,0.4,0.15491933384829668,lasso,30,3,0.7,10
3000,TRUE,0,0,0,boruta,30,3,0.7,10
3000,TRUE,0,0,0,svm,30,3,0.7,10
10000,TRUE,10,1,0,fdr,30,3,0.7,10
10000,TRUE,1,0.1,0.09486832980505139,tweedie,30,3,0.7,10
10000,TRUE,1,0.1,0.09486832980505139,lasso,30,3,0.7,10
10000,TRUE,0,0,0,boruta,30,3,0.7,10
10000,TRUE,0,0,0,svm,30,3,0.7,10
