p,nullresult,number,prop,prop_se,method,n,sig_p,d,nsims
100,TRUE,0,0,0,fdr,50,10,1.81,100
100,TRUE,0,0,0,tweedie,50,10,1.81,100
100,TRUE,0,0,0,lasso,50,10,1.81,100
100,TRUE,0,0,0,boruta,50,10,1.81,100
100,TRUE,0,0,0,svm,50,10,1.81,100
300,TRUE,0,0,0,fdr,50,10,1.81,100
300,TRUE,0,0,0,tweedie,50,10,1.81,100
300,TRUE,0,0,0,lasso,50,10,1.81,100
300,TRUE,0,0,0,boruta,50,10,1.81,100
300,TRUE,0,0,0,svm,50,10,1.81,100
1000,TRUE,0,0,0,fdr,50,10,1.81,100
1000,TRUE,0,0,0,tweedie,50,10,1.81,100
1000,TRUE,0,0,0,lasso,50,10,1.81,100
1000,TRUE,0,0,0,boruta,50,10,1.81,100
1000,TRUE,0,0,0,svm,50,10,1.81,100
3000,TRUE,0,0,0,fdr,50,10,1.81,100
3000,TRUE,0,0,0,tweedie,50,10,1.81,100
3000,TRUE,0,0,0,lasso,50,10,1.81,100
3000,TRUE,0,0,0,boruta,50,10,1.81,100
3000,TRUE,0,0,0,svm,50,10,1.81,100
10000,TRUE,0,0,0,fdr,50,10,1.81,100
10000,TRUE,0,0,0,tweedie,50,10,1.81,100
10000,TRUE,0,0,0,lasso,50,10,1.81,100
10000,TRUE,0,0,0,boruta,50,10,1.81,100
10000,TRUE,0,0,0,svm,50,10,1.81,100
