p,nullresult,number,prop,prop_se,method,n,sig_p,d,nsims
100,TRUE,10,1,0,fdr,76,10,0.1,10
100,TRUE,2,0.2,0.1264911064067352,tweedie,76,10,0.1,10
100,TRUE,2,0.2,0.1264911064067352,lasso,76,10,0.1,10
100,TRUE,1,0.1,0.09486832980505139,boruta,76,10,0.1,10
100,TRUE,0,0,0,svm,76,10,0.1,10
300,TRUE,10,1,0,fdr,76,10,0.1,10
300,TRUE,1,0.1,0.09486832980505139,tweedie,76,10,0.1,10
300,TRUE,2,0.2,0.1264911064067352,lasso,76,10,0.1,10
300,TRUE,0,0,0,boruta,76,10,0.1,10
300,TRUE,0,0,0,svm,76,10,0.1,10
1000,TRUE,10,1,0,fdr,76,10,0.1,10
1000,TRUE,0,0,0,tweedie,76,10,0.1,10
1000,TRUE,2,0.2,0.1264911064067352,lasso,76,10,0.1,10
1000,TRUE,0,0,0,boruta,76,10,0.1,10
1000,TRUE,0,0,0,svm,76,10,0.1,10
3000,TRUE,9,0.9,0.09486832980505137,fdr,76,10,0.1,10
3000,TRUE,4,0.4,0.15491933384829668,tweedie,76,10,0.1,10
3000,TRUE,0,0,0,lasso,76,10,0.1,10
3000,TRUE,0,0,0,boruta,76,10,0.1,10
3000,TRUE,0,0,0,svm,76,10,0.1,10
10000,TRUE,9,0.9,0.09486832980505137,fdr,76,10,0.1,10
10000,TRUE,6,0.6,0.15491933384829668,tweedie,76,10,0.1,10
10000,TRUE,1,0.1,0.09486832980505139,lasso,76,10,0.1,10
10000,TRUE,0,0,0,boruta,76,10,0.1,10
10000,TRUE,0,0,0,svm,76,10,0.1,10
